StockCode,Value_segment
20935,Bottom 80%
20936,Bottom 80%
20941,Bottom 80%
20954,Bottom 80%
20956,Bottom 80%
20957,Bottom 80%
20960,Bottom 80%
20961,Bottom 80%
20963,Bottom 80%
20964,Bottom 80%
20966,Bottom 80%
20967,Bottom 80%
20969,80–95%
20970,80–95%
20971,80–95%
20972,80–95%
20973,80–95%
20974,80–95%
20975,80–95%
20977,Bottom 80%
20978,Bottom 80%
20979,80–95%
20980,Bottom 80%
20981,Bottom 80%
20982,Bottom 80%
20983,Bottom 80%
20984,Bottom 80%
20985,Bottom 80%
20986,Bottom 80%
20992,Bottom 80%
20996,Bottom 80%
20997,Bottom 80%
20998,Bottom 80%
21000,Bottom 80%
21001,Bottom 80%
21002,Bottom 80%
21003,Bottom 80%
21009,Bottom 80%
21011,Bottom 80%
21012,Bottom 80%
21014,Bottom 80%
21015,Bottom 80%
21018,Bottom 80%
21025,Bottom 80%
21026,Bottom 80%
21027,Bottom 80%
21028,Bottom 80%
21030,Bottom 80%
21031,Bottom 80%
21032,Bottom 80%
21033,80–95%
21034,Bottom 80%
21035,80–95%
21038,Bottom 80%
21039,Bottom 80%
21040,Bottom 80%
21041,80–95%
21042,Bottom 80%
21043,Bottom 80%
21051,Bottom 80%
21054,Bottom 80%
21055,Bottom 80%
21056,Bottom 80%
21058,Bottom 80%
21059,Bottom 80%
21060,Bottom 80%
21061,Bottom 80%
21062,Bottom 80%
21063,Bottom 80%
21064,Bottom 80%
21065,Bottom 80%
21066,Bottom 80%
21067,Bottom 80%
21068,Bottom 80%
21069,Bottom 80%
21070,Bottom 80%
21071,Bottom 80%
21078,Bottom 80%
21080,95–99%
21082,Bottom 80%
21084,Bottom 80%
21086,80–95%
21087,Bottom 80%
21088,Bottom 80%
21089,Bottom 80%
21090,Bottom 80%
21094,80–95%
21095,Bottom 80%
21096,Bottom 80%
21098,80–95%
21100,Bottom 80%
21106,Bottom 80%
21107,Bottom 80%
21108,95–99%
21109,Bottom 80%
21110,80–95%
21111,Bottom 80%
21112,Bottom 80%
21114,Bottom 80%
21115,80–95%
21116,80–95%
21117,Bottom 80%
21120,Bottom 80%
21121,80–95%
21122,80–95%
21123,Bottom 80%
21124,80–95%
21125,Bottom 80%
21126,Bottom 80%
21128,Bottom 80%
21129,Bottom 80%
21131,Bottom 80%
21132,Bottom 80%
21135,Bottom 80%
21136,80–95%
21137,Top 1%
21143,Bottom 80%
21144,Bottom 80%
21145,Bottom 80%
21147,Bottom 80%
21154,80–95%
21155,80–95%
21156,80–95%
21157,Bottom 80%
21158,Bottom 80%
21159,Bottom 80%
21160,Bottom 80%
21161,Bottom 80%
21162,Bottom 80%
21163,Bottom 80%
21164,80–95%
21165,80–95%
21166,95–99%
21167,Bottom 80%
21169,80–95%
21171,Bottom 80%
21172,80–95%
21174,80–95%
21175,95–99%
21179,Bottom 80%
21181,95–99%
21186,Bottom 80%
21187,Bottom 80%
21188,Bottom 80%
21189,Bottom 80%
21190,Bottom 80%
21191,Bottom 80%
21192,Bottom 80%
21194,Bottom 80%
21195,Bottom 80%
21196,Bottom 80%
21197,Bottom 80%
21198,Bottom 80%
21199,Bottom 80%
21200,Bottom 80%
21201,Bottom 80%
21202,Bottom 80%
21204,Bottom 80%
21205,Bottom 80%
21206,Bottom 80%
21207,Bottom 80%
21208,Bottom 80%
21209,Bottom 80%
21210,80–95%
21211,Bottom 80%
21212,95–99%
21213,80–95%
21215,Bottom 80%
21216,95–99%
21217,95–99%
21218,80–95%
21219,Bottom 80%
21220,Bottom 80%
21221,Bottom 80%
21222,Bottom 80%
21224,Bottom 80%
21226,Bottom 80%
21228,Bottom 80%
21231,80–95%
21232,95–99%
21238,80–95%
21239,Bottom 80%
21240,80–95%
21242,80–95%
21243,80–95%
21244,80–95%
21245,Bottom 80%
21246,Bottom 80%
21248,Bottom 80%
21249,Bottom 80%
21250,Bottom 80%
21251,Bottom 80%
21253,Bottom 80%
21257,80–95%
21258,80–95%
21259,80–95%
21260,80–95%
21261,Bottom 80%
21262,Bottom 80%
21263,Bottom 80%
21264,Bottom 80%
21265,Bottom 80%
21268,Bottom 80%
21269,Bottom 80%
21270,Bottom 80%
21272,Bottom 80%
21275,Bottom 80%
21277,Bottom 80%
21278,Bottom 80%
21279,Bottom 80%
21280,Bottom 80%
21281,Bottom 80%
21284,Bottom 80%
21285,Bottom 80%
21286,Bottom 80%
21287,Bottom 80%
21288,Bottom 80%
21289,Bottom 80%
21291,Bottom 80%
21292,Bottom 80%
21293,Bottom 80%
21294,Bottom 80%
21306,Bottom 80%
21307,Bottom 80%
21310,Bottom 80%
21311,Bottom 80%
21313,Bottom 80%
21314,80–95%
21316,Bottom 80%
21317,Bottom 80%
21318,Bottom 80%
21319,Bottom 80%
21320,Bottom 80%
21324,Bottom 80%
21326,80–95%
21327,Bottom 80%
21328,Bottom 80%
21329,Bottom 80%
21331,Bottom 80%
21332,Bottom 80%
21333,Bottom 80%
21336,Bottom 80%
21340,80–95%
21344,Bottom 80%
21348,Bottom 80%
21349,Bottom 80%
21351,Bottom 80%
21352,Bottom 80%
21354,Bottom 80%
21355,Bottom 80%
21356,Bottom 80%
21357,Bottom 80%
21358,Bottom 80%
21359,Bottom 80%
21360,Bottom 80%
21361,Bottom 80%
21363,Bottom 80%
21364,Bottom 80%
21365,Bottom 80%
21366,Bottom 80%
21367,Bottom 80%
21368,Bottom 80%
21369,Bottom 80%
21370,Bottom 80%
21371,Bottom 80%
21372,Bottom 80%
21373,Bottom 80%
21374,Bottom 80%
21375,Bottom 80%
21376,Bottom 80%
21377,Bottom 80%
21378,Bottom 80%
21379,Bottom 80%
21380,80–95%
21381,80–95%
21382,Bottom 80%
21383,Bottom 80%
21385,80–95%
21386,Bottom 80%
21389,Bottom 80%
21390,80–95%
21391,Bottom 80%
21392,Bottom 80%
21393,Bottom 80%
21394,Bottom 80%
21395,Bottom 80%
21397,Bottom 80%
21398,Bottom 80%
21399,Bottom 80%
21400,Bottom 80%
21401,Bottom 80%
21402,Bottom 80%
21403,Bottom 80%
21407,Bottom 80%
21408,Bottom 80%
21410,Bottom 80%
21411,Bottom 80%
21412,Bottom 80%
21413,Bottom 80%
21414,Bottom 80%
21415,Bottom 80%
21416,Bottom 80%
21417,Bottom 80%
21418,Bottom 80%
21420,Bottom 80%
21421,Bottom 80%
21422,Bottom 80%
21424,Bottom 80%
21425,Bottom 80%
21426,Bottom 80%
21427,Bottom 80%
21428,80–95%
21429,80–95%
21430,95–99%
21439,Bottom 80%
21441,Bottom 80%
21442,Bottom 80%
21445,Bottom 80%
21446,Bottom 80%
21447,Bottom 80%
21448,Bottom 80%
21452,Bottom 80%
21454,Bottom 80%
21455,Bottom 80%
21456,Bottom 80%
21457,Bottom 80%
21458,Bottom 80%
21459,Bottom 80%
21460,Bottom 80%
21461,Bottom 80%
21462,Bottom 80%
21463,80–95%
21464,Bottom 80%
21465,Bottom 80%
21466,Bottom 80%
21467,Bottom 80%
21468,Bottom 80%
21469,Bottom 80%
21470,Bottom 80%
21471,Bottom 80%
21472,Bottom 80%
21473,Bottom 80%
21476,Bottom 80%
21479,95–99%
21481,95–99%
21484,80–95%
21485,95–99%
21486,Bottom 80%
21488,Bottom 80%
21491,Bottom 80%
21494,80–95%
21495,Bottom 80%
21497,80–95%
21498,80–95%
21499,Bottom 80%
21500,Bottom 80%
21503,Bottom 80%
21504,Bottom 80%
21506,Bottom 80%
21507,Bottom 80%
21508,Bottom 80%
21509,Bottom 80%
21518,Bottom 80%
21519,Bottom 80%
21520,Bottom 80%
21523,95–99%
21524,95–99%
21527,80–95%
21528,Bottom 80%
21530,Bottom 80%
21531,80–95%
21533,80–95%
21534,Bottom 80%
21535,80–95%
21537,Bottom 80%
21538,Bottom 80%
21539,80–95%
21544,Bottom 80%
21547,Bottom 80%
21555,Bottom 80%
21556,Bottom 80%
21557,Bottom 80%
21558,80–95%
21559,80–95%
21561,80–95%
21562,Bottom 80%
21563,Bottom 80%
21564,Bottom 80%
21576,Bottom 80%
21577,Bottom 80%
21578,Bottom 80%
21579,Bottom 80%
21580,Bottom 80%
21581,Bottom 80%
21584,Bottom 80%
21586,Bottom 80%
21587,Bottom 80%
21588,80–95%
21591,Bottom 80%
21592,Bottom 80%
21594,Bottom 80%
21595,Bottom 80%
21609,Bottom 80%
21613,Bottom 80%
21614,Bottom 80%
21615,Bottom 80%
21616,Bottom 80%
21617,Bottom 80%
21618,Bottom 80%
21619,Bottom 80%
21620,Bottom 80%
21621,95–99%
21622,Bottom 80%
21623,95–99%
21624,Bottom 80%
21625,Bottom 80%
21626,Bottom 80%
21627,Bottom 80%
21628,Bottom 80%
21629,Bottom 80%
21630,Bottom 80%
21631,Bottom 80%
21632,Bottom 80%
21633,Bottom 80%
21634,Bottom 80%
21635,Bottom 80%
21636,Bottom 80%
21637,Bottom 80%
21638,Bottom 80%
21640,Bottom 80%
21641,Bottom 80%
21642,Bottom 80%
21643,Bottom 80%
21644,Bottom 80%
21645,Bottom 80%
21647,Bottom 80%
21648,Bottom 80%
21650,Bottom 80%
21651,Bottom 80%
21654,Bottom 80%
21655,Bottom 80%
21656,Bottom 80%
21657,Bottom 80%
21658,80–95%
21661,Bottom 80%
21662,Bottom 80%
21664,Bottom 80%
21666,Bottom 80%
21667,Bottom 80%
21668,80–95%
21669,80–95%
21670,80–95%
21671,80–95%
21672,80–95%
21673,80–95%
21675,Bottom 80%
21676,Bottom 80%
21677,Bottom 80%
21678,Bottom 80%
21679,Bottom 80%
21680,Bottom 80%
21681,Bottom 80%
21682,Bottom 80%
21683,Bottom 80%
21684,Bottom 80%
21686,Bottom 80%
21688,Bottom 80%
21689,Bottom 80%
21690,Bottom 80%
21692,Bottom 80%
21693,Bottom 80%
21694,Bottom 80%
21695,Bottom 80%
21696,Bottom 80%
21698,Bottom 80%
21700,Bottom 80%
21703,80–95%
21704,80–95%
21705,Bottom 80%
21706,Bottom 80%
21707,Bottom 80%
21708,Bottom 80%
21709,Bottom 80%
21710,Bottom 80%
21711,Bottom 80%
21713,Bottom 80%
21714,Bottom 80%
21715,80–95%
21716,80–95%
21717,Bottom 80%
21718,Bottom 80%
21719,Bottom 80%
21720,Bottom 80%
21721,Bottom 80%
21722,Bottom 80%
21723,Bottom 80%
21724,Bottom 80%
21725,Bottom 80%
21726,Bottom 80%
21730,Bottom 80%
21731,95–99%
21733,95–99%
21735,Bottom 80%
21736,Bottom 80%
21738,Bottom 80%
21739,Bottom 80%
21741,Bottom 80%
21742,Bottom 80%
21743,Bottom 80%
21744,Bottom 80%
21745,80–95%
21746,80–95%
21747,Bottom 80%
21749,80–95%
21750,Bottom 80%
21754,95–99%
21755,95–99%
21756,80–95%
21757,Bottom 80%
21758,Bottom 80%
21761,Bottom 80%
21763,Bottom 80%
21769,Bottom 80%
21770,80–95%
21773,Bottom 80%
21774,Bottom 80%
21775,Bottom 80%
21777,Bottom 80%
21781,Bottom 80%
21784,Bottom 80%
21785,Bottom 80%
21786,Bottom 80%
21787,80–95%
21788,Bottom 80%
21789,Bottom 80%
21790,95–99%
21791,80–95%
21792,Bottom 80%
21793,Bottom 80%
21794,Bottom 80%
21801,Bottom 80%
21802,Bottom 80%
21803,Bottom 80%
21804,Bottom 80%
21807,Bottom 80%
21808,Bottom 80%
21809,Bottom 80%
21810,Bottom 80%
21811,Bottom 80%
21812,Bottom 80%
21813,Bottom 80%
21814,Bottom 80%
21815,Bottom 80%
21816,Bottom 80%
21817,Bottom 80%
21818,Bottom 80%
21819,Bottom 80%
21820,Bottom 80%
21821,Bottom 80%
21822,Bottom 80%
21823,Bottom 80%
21824,Bottom 80%
21826,Bottom 80%
21827,Bottom 80%
21828,Bottom 80%
21829,Bottom 80%
21830,Bottom 80%
21832,Bottom 80%
21833,80–95%
21836,Bottom 80%
21839,Bottom 80%
21841,Bottom 80%
21843,95–99%
21844,80–95%
21845,Bottom 80%
21846,Bottom 80%
21847,Bottom 80%
21849,Bottom 80%
21850,Bottom 80%
21851,Bottom 80%
21864,Bottom 80%
21865,Bottom 80%
21866,Bottom 80%
21867,Bottom 80%
21868,80–95%
21870,Bottom 80%
21871,80–95%
21872,Bottom 80%
21873,Bottom 80%
21874,80–95%
21875,Bottom 80%
21876,80–95%
21877,80–95%
21878,Bottom 80%
21879,Bottom 80%
21880,Bottom 80%
21881,Bottom 80%
21882,Bottom 80%
21883,Bottom 80%
21884,Bottom 80%
21888,80–95%
21889,80–95%
21890,80–95%
21891,80–95%
21892,80–95%
21894,Bottom 80%
21895,Bottom 80%
21896,Bottom 80%
21897,Bottom 80%
21898,Bottom 80%
21899,Bottom 80%
21900,Bottom 80%
21901,Bottom 80%
21902,Bottom 80%
21903,Bottom 80%
21904,Bottom 80%
21905,Bottom 80%
21906,80–95%
21907,80–95%
21908,80–95%
21910,Bottom 80%
21911,Bottom 80%
21912,80–95%
21913,Bottom 80%
21914,80–95%
21915,95–99%
21916,Bottom 80%
21917,Bottom 80%
21918,Bottom 80%
21922,80–95%
21925,Bottom 80%
21926,Bottom 80%
21927,Bottom 80%
21928,95–99%
21929,95–99%
21930,95–99%
21931,Top 1%
21932,80–95%
21933,80–95%
21934,80–95%
21935,80–95%
21936,95–99%
21937,80–95%
21942,Bottom 80%
21943,Bottom 80%
21944,Bottom 80%
21945,Bottom 80%
21946,Bottom 80%
21947,Bottom 80%
21948,Bottom 80%
21949,Bottom 80%
21955,80–95%
21967,Bottom 80%
21972,Bottom 80%
21973,Bottom 80%
21974,80–95%
21975,80–95%
21976,Bottom 80%
21977,95–99%
21980,Bottom 80%
21981,Bottom 80%
21982,Bottom 80%
21983,Bottom 80%
21984,Bottom 80%
21985,Bottom 80%
21986,Bottom 80%
21987,Bottom 80%
21988,Bottom 80%
21989,Bottom 80%
21990,Bottom 80%
21991,Bottom 80%
21992,80–95%
21993,80–95%
22016,Bottom 80%
22021,Bottom 80%
22023,Bottom 80%
22024,Bottom 80%
22025,Bottom 80%
22026,Bottom 80%
22027,Bottom 80%
22028,Bottom 80%
22029,80–95%
22030,Bottom 80%
22031,Bottom 80%
22032,Bottom 80%
22033,Bottom 80%
22034,Bottom 80%
22035,Bottom 80%
22037,Bottom 80%
22038,Bottom 80%
22039,Bottom 80%
22040,Bottom 80%
22041,95–99%
22042,Bottom 80%
22043,Bottom 80%
22044,Bottom 80%
22045,Bottom 80%
22046,Bottom 80%
22047,Bottom 80%
22048,Bottom 80%
22049,Bottom 80%
22050,Bottom 80%
22051,Bottom 80%
22052,Bottom 80%
22053,80–95%
22055,Bottom 80%
22057,Bottom 80%
22059,Bottom 80%
22060,Bottom 80%
22061,80–95%
22062,Bottom 80%
22063,Bottom 80%
22064,Bottom 80%
22065,80–95%
22066,Bottom 80%
22067,Bottom 80%
22068,Bottom 80%
22069,Bottom 80%
22070,Bottom 80%
22071,Bottom 80%
22072,Bottom 80%
22073,Bottom 80%
22074,Bottom 80%
22075,Bottom 80%
22076,Bottom 80%
22077,95–99%
22078,Bottom 80%
22079,80–95%
22080,Bottom 80%
22081,Bottom 80%
22082,80–95%
22083,95–99%
22084,95–99%
22085,Bottom 80%
22086,Top 1%
22087,95–99%
22088,80–95%
22089,80–95%
22090,95–99%
22091,Bottom 80%
22092,Bottom 80%
22093,Bottom 80%
22094,Bottom 80%
22095,Bottom 80%
22096,Bottom 80%
22097,Bottom 80%
22098,Bottom 80%
22099,Bottom 80%
22100,Bottom 80%
22101,Bottom 80%
22102,Bottom 80%
22103,Bottom 80%
22104,Bottom 80%
22105,Bottom 80%
22106,Bottom 80%
22107,Bottom 80%
22108,Bottom 80%
22109,80–95%
22110,80–95%
22111,95–99%
22112,Top 1%
22113,95–99%
22114,Top 1%
22115,Bottom 80%
22116,Bottom 80%
22117,80–95%
22118,Bottom 80%
22119,Bottom 80%
22120,80–95%
22121,Bottom 80%
22123,Bottom 80%
22124,Bottom 80%
22125,Bottom 80%
22127,Bottom 80%
22128,Bottom 80%
22129,Bottom 80%
22130,Bottom 80%
22131,80–95%
22132,Bottom 80%
22133,Bottom 80%
22134,Bottom 80%
22135,Bottom 80%
22136,Bottom 80%
22137,Bottom 80%
22138,95–99%
22139,95–99%
22141,80–95%
22142,80–95%
22144,80–95%
22145,Bottom 80%
22146,Bottom 80%
22147,80–95%
22148,80–95%
22149,95–99%
22150,80–95%
22151,80–95%
22152,Bottom 80%
22153,Bottom 80%
22154,Bottom 80%
22155,Bottom 80%
22156,Bottom 80%
22157,Bottom 80%
22158,95–99%
22161,Bottom 80%
22162,Bottom 80%
22163,Bottom 80%
22164,Bottom 80%
22165,80–95%
22166,Bottom 80%
22167,Bottom 80%
22168,Bottom 80%
22169,80–95%
22170,80–95%
22171,95–99%
22173,80–95%
22174,80–95%
22175,Bottom 80%
22176,Bottom 80%
22178,Top 1%
22179,80–95%
22180,80–95%
22181,Bottom 80%
22182,Bottom 80%
22183,Bottom 80%
22184,Bottom 80%
22185,Bottom 80%
22186,Bottom 80%
22187,80–95%
22188,95–99%
22189,95–99%
22190,Bottom 80%
22191,80–95%
22192,80–95%
22193,95–99%
22194,Bottom 80%
22195,80–95%
22196,Bottom 80%
22197,Top 1%
22198,Bottom 80%
22199,Bottom 80%
22200,Bottom 80%
22201,Bottom 80%
22202,Bottom 80%
22203,Bottom 80%
22204,Bottom 80%
22206,Bottom 80%
22207,80–95%
22208,Bottom 80%
22209,Bottom 80%
22210,Bottom 80%
22211,Bottom 80%
22212,80–95%
22214,Bottom 80%
22215,Bottom 80%
22216,Bottom 80%
22217,Bottom 80%
22218,Bottom 80%
22219,80–95%
22220,Bottom 80%
22221,Bottom 80%
22222,80–95%
22223,Bottom 80%
22224,Bottom 80%
22227,Bottom 80%
22228,Bottom 80%
22229,Bottom 80%
22230,Bottom 80%
22231,Bottom 80%
22232,Bottom 80%
22233,Bottom 80%
22236,80–95%
22241,Bottom 80%
22242,Bottom 80%
22243,80–95%
22244,80–95%
22245,Bottom 80%
22246,Bottom 80%
22247,Bottom 80%
22248,Bottom 80%
22249,Bottom 80%
22250,Bottom 80%
22251,Bottom 80%
22252,Bottom 80%
22254,Bottom 80%
22255,Bottom 80%
22256,Bottom 80%
22257,Bottom 80%
22258,Bottom 80%
22259,Bottom 80%
22260,Bottom 80%
22261,Bottom 80%
22262,Bottom 80%
22263,Bottom 80%
22264,Bottom 80%
22265,Bottom 80%
22266,Bottom 80%
22267,Bottom 80%
22268,Bottom 80%
22269,Bottom 80%
22270,Bottom 80%
22271,80–95%
22272,Bottom 80%
22273,80–95%
22274,80–95%
22275,Bottom 80%
22276,Bottom 80%
22277,Bottom 80%
22278,Bottom 80%
22279,Bottom 80%
22280,Bottom 80%
22281,Bottom 80%
22282,Bottom 80%
22283,Bottom 80%
22284,Bottom 80%
22285,Bottom 80%
22286,Bottom 80%
22287,Bottom 80%
22288,Bottom 80%
22289,Bottom 80%
22291,Bottom 80%
22292,Bottom 80%
22293,Bottom 80%
22294,80–95%
22295,80–95%
22296,80–95%
22297,80–95%
22299,Bottom 80%
22300,80–95%
22301,80–95%
22302,80–95%
22303,80–95%
22304,Bottom 80%
22305,Bottom 80%
22306,Bottom 80%
22307,Bottom 80%
22308,Bottom 80%
22309,Bottom 80%
22310,Bottom 80%
22311,80–95%
22312,Bottom 80%
22313,Bottom 80%
22314,Bottom 80%
22315,Bottom 80%
22316,Bottom 80%
22317,Bottom 80%
22318,Bottom 80%
22319,Bottom 80%
22320,Bottom 80%
22321,Bottom 80%
22322,Bottom 80%
22323,Bottom 80%
22324,Bottom 80%
22325,Bottom 80%
22326,95–99%
22327,80–95%
22328,95–99%
22329,Bottom 80%
22331,Bottom 80%
22332,Bottom 80%
22333,80–95%
22334,Bottom 80%
22335,Bottom 80%
22336,Bottom 80%
22337,Bottom 80%
22338,Bottom 80%
22339,Bottom 80%
22340,Bottom 80%
22341,Bottom 80%
22342,Bottom 80%
22343,Bottom 80%
22344,Bottom 80%
22345,Bottom 80%
22346,Bottom 80%
22348,80–95%
22349,80–95%
22350,80–95%
22351,Bottom 80%
22352,80–95%
22353,Bottom 80%
22354,Bottom 80%
22355,Top 1%
22356,95–99%
22357,Bottom 80%
22358,Bottom 80%
22359,Bottom 80%
22360,Bottom 80%
22361,Bottom 80%
22362,Bottom 80%
22363,Bottom 80%
22364,Bottom 80%
22365,80–95%
22366,80–95%
22367,80–95%
22371,80–95%
22372,Bottom 80%
22374,Bottom 80%
22375,Bottom 80%
22376,Bottom 80%
22377,Bottom 80%
22378,80–95%
22379,95–99%
22380,Bottom 80%
22381,80–95%
22382,95–99%
22383,95–99%
22384,95–99%
22385,95–99%
22386,Top 1%
22389,Bottom 80%
22390,Bottom 80%
22391,Bottom 80%
22393,Bottom 80%
22394,Bottom 80%
22395,Bottom 80%
22396,Bottom 80%
22398,Bottom 80%
22399,Bottom 80%
22400,Bottom 80%
22402,Bottom 80%
22403,Bottom 80%
22405,Bottom 80%
22406,Bottom 80%
22407,Bottom 80%
22408,Bottom 80%
22409,Bottom 80%
22410,Bottom 80%
22411,Top 1%
22412,Bottom 80%
22413,80–95%
22414,Bottom 80%
22415,Bottom 80%
22416,Bottom 80%
22417,80–95%
22418,80–95%
22419,Bottom 80%
22420,Bottom 80%
22421,Bottom 80%
22422,Bottom 80%
22423,Top 1%
22424,95–99%
22425,Bottom 80%
22426,Bottom 80%
22427,95–99%
22428,Bottom 80%
22429,80–95%
22430,80–95%
22431,80–95%
22432,80–95%
22433,Bottom 80%
22434,Bottom 80%
22435,80–95%
22436,Bottom 80%
22437,Bottom 80%
22438,Bottom 80%
22439,Bottom 80%
22440,Bottom 80%
22441,Bottom 80%
22442,Bottom 80%
22443,Bottom 80%
22444,Bottom 80%
22445,Bottom 80%
22446,Bottom 80%
22447,Bottom 80%
22448,Bottom 80%
22449,Bottom 80%
22450,Bottom 80%
22451,Bottom 80%
22452,Bottom 80%
